descrizione
SCHEDA CLIENTE, SEDE OPERATIVA, Numero Civico, indicato indirizzo Sede Legale
SCHEDA CLIENTE, SEDE OPERATIVA, CAP, indicato indirizzo Sede Legale
SCHEDA CLIENTE, SEDE OPERATIVA, Località, indicato indirizzo Sede Legale
SCHEDA CLIENTE, SEDE OPERATIVA, Provincia, indicato indirizzo Sede Legale
SCHEDA CLIENTE, SEDE OPERATIVA, Nazione, indicato indirizzo Sede Legale
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, non è stata inserita sul contratto, la natura giuridica del Cliente.
CENTRI DI COSTO, allineare PEC non coincide come riportato su ALLEGATO AMMINISTRATIVO, inoltre la PEC riportata sui centri di costo è una E-mail.
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, NON LEGGIBILE
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, NON LEGGIBILE
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, NON LEGGIBILE
SCHEDA CLIENTE, SEDE LEGALE, Via, non coincide come riportato su VISURA e CRM, indirizzo esatto da riportare
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale, non coincide come riportato su VISURA e CRM,ragione sociale esatta da riportare:
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, non inserire nessun dato a mano, qualsiasi dato cliente deve essere generato da SFA.
POLICY DEL CREDITO, Ragione sociale non coincide come riportato su VISURA e CRM.
ALLEGATO AMMINISTRATIVO, Utilizzato modulo per soggetti residenti all'estero.
La documentazione non passa in automatico da SFA a CRM causa anomalia in SFA , e non si crea il BOM (conto contrattuale).si chiede di  regolarizzare l’anomalia prima di rinviarlo
ragione sociale su SFA non identica a quanto riportato su CRM e Cerved (visura camerale). Risulta Milù di Sigillo Marilena
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale, correggere coerentemente con visura camerale riportando dato corretto
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, dato obbligatorio ( no correzioni manuali ). Rigenerare il contratto con il dato presente. Se necessario aprire tkt tecnico tramite n.verde o CA Catalog
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), spunta scelte
SCHEDA CLIENTE, SEDE LEGALE, Via, sulla visura camerale è:
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, sulla visura camerale è
centri di costo volumi promessi nazionale doppiamente inseriti in crm
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, si richiede formato P7M
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, si richiede formato 
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, la firma deve essere autografa.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, la firma deve essere autografa.
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo PEC (obbligatorio se non fornito Codice Destinatario), non sono ammesse aggiunte a penna e/o a macchina. Tutti i dati devono essere inseriti in SFA e stampati sul contratto dal sistema.
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, la firma deve essere autografa.
SCHEDA CLIENTE, SEDE LEGALE, Via, NON COMPILATO
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, NON COMILATO
SCHEDA CLIENTE, SEDE LEGALE, CAP, NON COMPILATO
SCHEDA CLIENTE, SEDE LEGALE, Località, NON COMPILATO
SCHEDA CLIENTE, SEDE LEGALE, Provincia, NON COMPILATO
SCHEDA CLIENTE, SEDE LEGALE, Nazione, NON COMILATO
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, firma illeggibile mettere un timbro illeggibile.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, firma illeggibile mettere un timbro illeggibile.
SCHEDA CLIENTE, SEDE LEGALE, Via, l indirizzo della sede legale non è coerente con l indirizzo riportato su CRM, tutti i dati devono essere allineati.
SCHEDA CLIENTE, DATI ANAGRAFICI,  manca la natura giuridica su scheda cliente
POLICY DEL CREDITO, Validità, , la policy del credito è scaduta
"scheda cliente: nessun dato deve essere riportato manualmente,in quanto tutti i dati devono essere generati da SFA; "
privacy errata è studio tecnico con partita iva quindi con privacy con 2 scelte
SCHEDA CLIENTE, RIFERIMENTI DEL CLIENTE SYSTEM ADMINISTRATOR, Telefono Cellulare, indicare num.di telefono cellulare
SCHEDA CLIENTE, SEDE LEGALE, Provincia, bressanone è in  provincia di bz
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, TIPOLOGIA DI CLIENTE
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, Codice Destinatario
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo fisico
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, da crm numero civico 22 per sede legale
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Versione in vigore, versione non aggiornata.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Luogo e data, data anacronistica.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Data, data anacronistica.
CONDIZIONI GENERALI DEL SERVIZIO, versione non aggiornata.
AFC restituisce, ERRORE NELLA CREAZIONE DEI LISTINI PERSONALIZZATI.
PROBABILMENTE E' STATO INSERITO UN FILE ERRATO
SCHEDA CLIENTE, SEDE LEGALE, Via, da cerved la sede legale risulta in Torino. aggiornare l'anagrafica su sfa e riproporre la scheda con l'indirizzo corretto.
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, da cerved la sede legale risulta in Torino. Aggiornare l'anagrafica su sfa e riproporre la scheda con l'indirizzo corretto.
SCHEDA CLIENTE, SEDE LEGALE, CAP, da cerved la sede legale risulta in Torino. Aggiornare l'anagrafica su sfa e riproporre la scheda con l'indirizzo corretto.
ALLEGATO AMMINISTRATIVO, MODALITA' DI EMISSIONE E TRASMISSIONE DELLE FATTURE, e-mail, indirizzo email non presente in crm per i dati di fatturazione
SCHEDA CLIENTE, SEDE LEGALE, Località
SCHEDA CLIENTE, SEDE LEGALE, Provincia
SCHEDA CLIENTE, SEDE LEGALE, Nazione
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, Codice Destinatario, manca codice.
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo PEC (obbligatorio se non fornito Codice Destinatario), manca pec.
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, e-mail
SCHEDA CLIENTE, SEDE LEGALE, Via, indirizzo sede legale esatto è:
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, indirizzo sede legale esatto è:
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, e-mail, e @ in crm non corrisponde
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, discordanza con nominativo scheda cliente
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, discordanza con nominativo scheda cliente
SCHEDA CLIENTE, DATI ANAGRAFICI, Nome, discordanza con firma privacy
SCHEDA CLIENTE, DATI ANAGRAFICI, Cognome, discordanza con firma privacy
SCHEDA CLIENTE, DATI ANAGRAFICI, PEC, non sono ammessi inserimenti a penna
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, discordante con nominativo scheda cliente
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, discordante con nominativo scheda cliente
non sono ammessi inserimenti a penna
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), spunta scelte, privacy non è stato barrato opzione SI/NO
in sfa non è presente policy recente unica di maggio  superata i 90 giorni 
SCHEDA CLIENTE, SEDE LEGALE, CAP, MANCA CAP
SCHEDA CLIENTE, SEDE LEGALE, Località, MANCA LOCALITA'
POLICY DEL CREDITO, Validità, Validità, POLICY SCADUTA
il crm non ha preso i dati da SFA cioe l indirizzo di fatturazione, si prega di reinserire in SFA la pratica 
SCHEDA CLIENTE, SEDE LEGALE, Via, discordante da visura 
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, discordante da visura
ALLEGATO AMMINISTRATIVO, Legge 13 agosto 2010 , non e presente parte del contratto riporto la legge 136 
La sede legale su CERVED, Sede: VIA  è differente da SFA e CRM. Allineare
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, la firma non è leggibile,ma si verifica che non è apposta dal rappresentante legale.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, Si ricorda che in mancanza del timbro la firma deve essere leggibile.
SCHEDA CLIENTE, SEDE OPERATIVA, Via, La via indicata sul contratto coincide con la sede di fatturazione di CERVED, ma su CRM  la sede operativa è 
SCHEDA CLIENTE, SEDE OPERATIVA, Numero Civico
RAGIONE SOCIALE DI SFA/CONTRATTO incongruente con la CERVED
"inserire in sfa il contratto   da crm  ""errore da SFA ""  "" NON è STATO POSSIBILE SALVARE IL DOCUMENTO """
SCHEDA CLIENTE, DATI ANAGRAFICI, Allineare nome e cognome come riportato su Visura,nome e cognome esatto da riportare è il seguente:
SCHEDA CLIENTE, RIFERIMENTI DEL CLIENTE SYSTEM ADMINISTRATOR, Nome, Modificare System Administrator, inserire Nome e cognome con il relativo codice fiscale.
"SCHEDA CLIENTE, SEDE LEGALE, Allineare Provincia come riportato su visura, Provincia esatta da riportare è la seguente:""SASSARI""."
SCHEDA CLIENTE, DATI ANAGRAFICI, Manca Natura Giuridica.
